---------- KRW-BTC ---------
------- 3 -------
0.2 0.993909
0.3 0.968722
0.4 0.944458
0.5 0.921074
0.6 0.898527
0.7 0.876777
0.8 0.903190
0.9 0.894102
high k
0.2 0.993909

KRW-OMG 1.0200682141361328
---------- KRW-SNT ---------
------- 3 -------
0.1 1.097022
0.2 1.077024
0.3 1.057711
0.4 1.039049
0.5 1.021006
0.6 1.003551
0.7 0.986655
0.8 0.970293
0.9 0.954440
high k
0.1 1.097022
------- 4 -------
0.1 1.027412
0.2 0.994579
0.3 0.963256
0.4 0.933353
0.5 0.904785
0.6 0.877474
0.7 0.851348
0.8 0.970293
0.9 0.954440
high k
0.1 1.027412
------- 5 -------
0.1 1.027412
0.2 0.994579
0.3 0.963256
0.4 0.933353
0.5 0.904785
0.6 0.877474
0.7 0.851348
0.8 0.970293
0.9 0.954440
high k
0.1 1.027412
------- 6 -------
0.1 0.892054
0.2 0.994579
0.3 0.963256
0.4 0.933353
0.5 0.904785
0.6 0.877474
0.7 0.851348
0.8 0.970293
0.9 0.954440
high k
0.2 0.994579
------- 7 -------
0.1 0.633750
0.2 0.994579
0.3 0.963256
0.4 0.933353
0.5 0.904785
0.6 0.877474
0.7 0.851348
0.8 0.970293
0.9 0.954440
high k
0.2 0.994579

KRW-SNT 1.0274123315543886
---------- KRW-WAVES ---------
------- 3 -------
0.1 1.323575
0.2 1.302263
0.3 1.281602
0.4 1.261563
0.5 1.242118
0.6 1.223242
0.7 1.204909
0.8 1.187096
0.9 1.169782
high k
0.1 1.323575
------- 4 -------
0.1 1.227805
0.2 1.195424
0.3 1.164290
0.4 1.134340
0.5 1.105515
0.6 1.077758
0.7 1.051017
0.8 1.025242
0.9 1.169782
high k
0.1 1.227805
------- 5 -------
0.1 1.227805
0.2 1.195424
0.3 1.164290
0.4 1.134340
0.5 1.105515
0.6 1.077758
0.7 1.051017
0.8 1.025242
0.9 1.169782
high k
0.1 1.227805
------- 6 -------
0.1 1.345453
0.2 1.271120
0.3 1.202264
0.4 1.138377
0.5 1.079005
0.6 1.023746
0.7 0.972241
0.8 1.025242
0.9 1.169782
high k
0.1 1.345453
------- 7 -------
0.1 1.345453
0.2 1.271120
0.3 1.202264
0.4 1.138377
0.5 1.079005
0.6 1.023746
0.7 0.972241
0.8 1.025242
0.9 1.169782
high k
0.1 1.345453

KRW-WAVES 1.3454532849271537
---------- KRW-XEM ---------
------- 3 -------
0.1 1.056813
0.2 1.037084
0.3 1.018045
0.4 0.999661
0.5 0.981900
0.6 0.964730
0.7 0.948122
0.8 1.000000
0.9 1.000000
high k
0.1 1.056813
------- 4 -------
0.1 1.001107
0.2 0.970405
0.3 0.941070
0.4 0.913020
0.5 0.886183
0.6 0.860488
0.7 0.835871
0.8 0.871492
0.9 1.000000
high k
0.1 1.001107
------- 5 -------
0.1 1.001107
0.2 0.970405
0.3 0.941070
0.4 0.913020
0.5 0.886183
0.6 0.860488
0.7 0.835871
0.8 0.871492
0.9 1.000000
high k
0.1 1.001107
------- 6 -------
0.1 0.911634
0.2 0.970405
0.3 0.941070
0.4 0.913020
0.5 0.886183
0.6 0.860488
0.7 0.835871
0.8 0.871492
0.9 1.000000
high k
0.9 1.000000
------- 7 -------
0.1 0.646925
0.2 0.970405
0.3 0.941070
0.4 0.913020
0.5 0.886183
0.6 0.860488
0.7 0.835871
0.8 0.871492
0.9 1.000000
high k
0.9 1.000000

KRW-XEM 1.0011070570576357
---------- KRW-QTUM ---------
------- 3 -------
0.1 1.068430
0.2 1.047191
0.3 1.026744
0.4 1.007045
0.5 0.988054
0.6 0.969733
0.7 0.952047
0.8 1.000000
0.9 1.000000
high k
0.1 1.068430
------- 4 -------
0.1 1.029246
0.2 0.992970
0.3 0.958529
0.4 0.925803
0.5 0.894680
0.6 0.865057
0.7 0.836840
0.8 0.866280
0.9 0.853913
high k
0.1 1.029246
------- 5 -------
0.1 1.029246
0.2 0.992970
0.3 0.958529
0.4 0.925803
0.5 0.894680
0.6 0.865057
0.7 0.836840
0.8 0.866280
0.9 0.853913
high k
0.1 1.029246
------- 6 -------
0.1 0.952083
0.2 0.992970
0.3 0.958529
0.4 0.925803
0.5 0.894680
0.6 0.865057
0.7 0.836840
0.8 0.866280
0.9 0.853913
high k
0.2 0.992970
------- 7 -------
0.1 0.675248
0.2 0.695079
0.3 0.958529
0.4 0.925803
0.5 0.894680
0.6 0.865057
0.7 0.836840
0.8 0.866280
0.9 0.853913
high k
0.3 0.958529

KRW-QTUM 1.0292462237189701
---------- KRW-LSK ---------
------- 3 -------
0.1 1.074755
0.2 1.046359
0.3 1.019361
0.4 0.993661
0.5 0.969168
0.6 0.945798
0.7 0.923475
0.8 0.902131
0.9 0.881704
high k
0.1 1.074755
------- 4 -------
0.1 1.042095
0.2 0.997611
0.3 0.955875
0.4 0.916662
0.5 0.879773
0.6 0.845026
0.7 0.812258
0.8 0.781320
0.9 0.752079
high k
0.1 1.042095
------- 5 -------
0.1 0.876019
0.2 0.997611
0.3 0.955875
0.4 0.916662
0.5 0.879773
0.6 0.845026
0.7 0.812258
0.8 0.781320
0.9 0.752079
high k
0.2 0.997611
------- 6 -------
0.1 0.789294
0.2 0.997611
0.3 0.955875
0.4 0.916662
0.5 0.879773
0.6 0.845026
0.7 0.812258
0.8 0.781320
0.9 0.752079
high k
0.2 0.997611
------- 7 -------
0.1 0.554845
0.2 0.997611
0.3 0.955875
0.4 0.916662
0.5 0.879773
0.6 0.845026
0.7 0.812258
0.8 0.781320
0.9 0.752079
high k
0.2 0.997611

KRW-LSK 1.0420953737416496
---------- KRW-STEEM ---------
------- 3 -------
0.1 1.029212
0.2 1.007712
0.3 0.987052
0.4 0.967183
0.5 0.948062
0.6 1.000000
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.1 1.029212
------- 4 -------
0.1 0.938166
0.2 0.900574
0.3 0.865128
0.4 0.831669
0.5 0.948062
0.6 1.000000
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.6 1.000000
------- 5 -------
0.1 0.987113
0.2 0.915437
0.3 0.850482
0.4 0.791475
0.5 0.948062
0.6 1.000000
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.6 1.000000
------- 6 -------
0.1 0.987113
0.2 0.915437
0.3 0.850482
0.4 0.791475
0.5 0.948062
0.6 1.000000
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.6 1.000000
------- 7 -------
0.1 0.987113
0.2 0.915437
0.3 0.850482
0.4 0.791475
0.5 0.948062
0.6 1.000000
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.6 1.000000

KRW-STEEM 1.0
---------- KRW-XLM ---------
------- 3 -------
0.1 1.070807
0.2 1.058554
0.3 1.046566
0.4 1.034835
0.5 1.023352
0.6 1.012110
0.7 1.001100
0.8 0.990317
0.9 0.979752
high k
0.1 1.070807
------- 4 -------
0.1 0.989200
0.2 0.966762
0.3 0.945054
0.4 0.924047
0.5 1.023352
0.6 1.012110
0.7 1.001100
0.8 0.990317
0.9 0.979752
high k
0.5 1.023352
------- 5 -------
0.1 0.989200
0.2 0.966762
0.3 0.945054
0.4 0.924047
0.5 1.023352
0.6 1.012110
0.7 1.001100
0.8 0.990317
0.9 0.979752
high k
0.5 1.023352
------- 6 -------
0.1 0.948508
0.2 0.966762
0.3 0.945054
0.4 0.924047
0.5 1.023352
0.6 1.012110
0.7 1.001100
0.8 0.990317
0.9 0.979752
high k
0.5 1.023352
------- 7 -------
0.1 0.734802
0.2 0.966762
0.3 0.945054
0.4 0.924047
0.5 1.023352
0.6 1.012110
0.7 1.001100
0.8 0.990317
0.9 0.979752
high k
0.5 1.023352

KRW-XLM 1.0233519034354688
---------- KRW-ARDR ---------
------- 3 -------
0.1 1.058227
0.2 1.034858
0.3 1.012453
0.4 0.990956
0.5 0.970311
0.6 0.950469
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.1 1.058227
------- 4 -------
0.1 1.005596
0.2 0.956963
0.3 0.911679
0.4 0.869444
0.5 0.829993
0.6 0.950469
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.1 1.005596
------- 5 -------
0.1 0.940774
0.2 0.864963
0.3 0.796952
0.4 0.735767
0.5 0.680575
0.6 0.755812
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.7 1.000000
------- 6 -------
0.1 0.826243
0.2 0.864963
0.3 0.796952
0.4 0.735767
0.5 0.680575
0.6 0.755812
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.7 1.000000
------- 7 -------
0.1 0.826243
0.2 0.864963
0.3 0.796952
0.4 0.735767
0.5 0.680575
0.6 0.755812
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.7 1.000000

KRW-ARDR 1.0055960159505655
---------- KRW-KMD ---------
------- 3 -------
0.1 1.071017
0.2 1.045662
0.3 1.021429
0.4 0.998244
0.5 0.976042
0.6 0.954760
0.7 0.934344
0.8 0.914740
0.9 1.000000
high k
0.1 1.071017
------- 4 -------
0.1 1.039496
0.2 0.990953
0.3 0.945633
0.4 0.903259
0.5 0.863585
0.6 0.826386
0.7 0.934344
0.8 0.914740
0.9 1.000000
high k
0.1 1.039496
------- 5 -------
0.1 0.913635
0.2 0.842779
0.3 0.778934
0.4 0.721258
0.5 0.863585
0.6 0.826386
0.7 0.934344
0.8 0.914740
0.9 1.000000
high k
0.9 1.000000
------- 6 -------
0.1 0.913635
0.2 0.842779
0.3 0.778934
0.4 0.721258
0.5 0.863585
0.6 0.826386
0.7 0.934344
0.8 0.914740
0.9 1.000000
high k
0.9 1.000000
------- 7 -------
0.1 0.913635
0.2 0.842779
0.3 0.778934
0.4 0.721258
0.5 0.863585
0.6 0.826386
0.7 0.934344
0.8 0.914740
0.9 1.000000
high k
0.9 1.000000

KRW-KMD 1.0394962639980023
---------- KRW-ARK ---------
------- 3 -------
0.1 1.049012
0.2 1.022134
0.3 0.996540
0.4 0.972138
0.5 0.948849
0.6 0.926598
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.1 1.049012
------- 4 -------
0.1 0.965208
0.2 0.904649
0.3 0.849501
0.4 0.799137
0.5 0.948849
0.6 0.926598
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.7 1.000000
------- 5 -------
0.1 0.911377
0.2 0.824093
0.3 0.747419
0.4 0.679798
0.5 0.781161
0.6 0.738957
0.7 0.773197
0.8 0.750253
0.9 0.728554
high k
0.1 0.911377
------- 6 -------
0.1 0.825008
0.2 0.717937
0.3 0.627444
0.4 0.679798
0.5 0.781161
0.6 0.738957
0.7 0.773197
0.8 0.750253
0.9 0.728554
high k
0.1 0.825008
------- 7 -------
0.1 0.573807
0.2 0.717937
0.3 0.627444
0.4 0.679798
0.5 0.781161
0.6 0.738957
0.7 0.773197
0.8 0.750253
0.9 0.728554
high k
0.5 0.781161

KRW-ARK 1.0
---------- KRW-STORJ ---------
------- 3 -------
0.1 1.051005
0.2 1.028293
0.3 1.006500
0.4 0.985570
0.5 0.965453
0.6 1.000000
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.1 1.051005
------- 4 -------
0.1 0.946430
0.2 0.909673
0.3 0.874958
0.4 0.842137
0.5 0.811075
0.6 1.000000
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.6 1.000000
------- 5 -------
0.1 0.946430
0.2 0.909673
0.3 0.874958
0.4 0.842137
0.5 0.811075
0.6 1.000000
0.7 1.000000
0.8 1.000000
0.9 1.000000
high k
0.6 1.000000
------- 6 -------
0.1 1.120561
0.2 1.041518
0.3 0.969700
0.4 0.904294
0.5 0.844596
0.6 1.010674
0.7 0.981694
0.8 0.954255
0.9 0.928238
high k
0.1 1.120561
------- 7 -------
0.1 0.828940
